_framework_ref,id,framework,domain,sub_domain,control,detail
54 g,CPS 230-54 g,CPS 230,Service provider agreements,Service provider agreements,"(g) termination provisions including, but not limited to, the right to terminate both the arrangement in its entirety or parts of the arrangement. For an RSE licensee, termination provisions must include the ability for the RSE licensee to terminate the arrangement where to continue the arrangement would be inconsistent with the RSE licensee's duty to act in the best financial interests of beneficiaries (refer to section 52(2)(c) of the SIS Act).",
55 a,CPS 230-55 a,CPS 230,Service provider agreements,Service provider agreements,"The formal agreement must also include provisions that: (a) allow APRA access to documentation, data and any other information related to the provision of the service;",
55 b,CPS 230-55 b,CPS 230,Service provider agreements,Service provider agreements,(b) allow APRA the right to conduct an on-site visit to the service provider; and,
55 c,CPS 230-55 c,CPS 230,Service provider agreements,Service provider agreements,(c) ensure the service provider agrees not to impede APRA in fulfilling its duties as prudential regulator.,
56 a,CPS 230-56 a,CPS 230,Service provider agreements,Service provider agreements,"For each arrangement with a material service provider, an APRA-regulated entity must: a) identify and manage any risks that could affect the ability of the service provider to provide the service on an ongoing basis;",
56 b,CPS 230-56 b,CPS 230,Service provider agreements,Service provider agreements,"b) identify and manage any risks to the APRA-regulated entity that could result from the arrangement, such as step-in risk or contagion risk;",
56 c,CPS 230-56 c,CPS 230,Service provider agreements,Service provider agreements,c) ensure it can continue to execute its BCP if needed; and,
56 d,CPS 230-56 d,CPS 230,Service provider agreements,Service provider agreements,d) ensure it can conduct an orderly exit from the arrangement if needed.,
57,CPS 230-57,CPS 230,Service provider agreements,Service provider agreements,APRA may require an APRA-regulated entity to review and make changes to a service provider arrangement where it identifies heightened prudential concerns.,
59 a,CPS 230-59 a,CPS 230,"Monitoring, notifications and review","Monitoring, notifications and review",An APRA-regulated entity must notify APRA: (a) as soon as possible and not more than 20 business days after entering into or materially changing an agreement for the provision of a service on which the entity relies to undertake a critical operation; and,
59 b,CPS 230-59 b,CPS 230,"Monitoring, notifications and review","Monitoring, notifications and review","(b) prior to entering into any offshoring agreement with a material service provider, or when there is a significant change proposed to the agreement, including in circumstances where data or personnel relevant to the service being provided will be located offshore.",
6,CPS 230-6,CPS 230,Application and commencement,Application and commencement,This Prudential Standard commences on 1 July 2025. ,
60,CPS 230-60,CPS 230,"Monitoring, notifications and review","Monitoring, notifications and review","An APRA-regulated entity's internal audit function must review any proposed outsourcing arrangement with a material service provider for a critical operation, and regularly report to the Board or Board Audit Committee on compliance with the entity's service provider management policy for such arrangements.",
7,CPS 230-7,CPS 230,Application and commencement,Application and commencement,"Where an APRA-regulated entity has pre-existing contractual arrangements in place with a service provider, the requirements in this Prudential Standard will apply in relation to those arrangements from the earlier of the next renewal date of the contract with the service provider or 1 July 2026. ",
8,CPS 230-8,CPS 230,Interpretation,Interpretation,"Terms that are defined in Prudential Standard APS 001 Definitions, Prudential Standard GPS 001 Definitions, Prudential Standard LPS 001 Definitions, Prudential Standard HPS 001 Definitions or Prudential Standard 3PS 001 Definitions appear in bold the first time they are used in this Prudential Standard.",
9,CPS 230-9,CPS 230,Interpretation,Interpretation,"In this Prudential Standard, unless the contrary intention appears, a reference to an Act, Regulation or Prudential Standard is a reference to the Act, Regulation or Prudential Standard as in force from time to time.",
3,CPS 234-3,CPS 234,Application,Application,"The obligations imposed by this Prudential Standard on, or in relation to, a foreign ADI, a Category C insurer or an EFLIC apply only in relation to the Australian branch operations of that entity.",
5,CPS 234-5,CPS 234,Application,Application,"This Prudential Standard commences on 1 July 2019, subject to paragraph 6",
6,CPS 234-6,CPS 234,Application,Application,"Where an APRA-regulated entity's information assets are managed by a third party, the requirements in this Prudential Standard will apply in relation to those information assets from the earlier of the next renewal date of the contract with the third party or 1 July 2020. ",
7,CPS 234-7,CPS 234,Interpretation,Interpretation,"Terms that are defined in Prudential Standard APS 001 Definitions (APS 001), Prudential Standard GPS 001 Definitions (GPS 001), Prudential Standard LPS 001 Definitions, Prudential Standard HPS 001 Definitions or Prudential Standard 3PS 001 Definitions appear in bold the first time they are used in this Prudential Standard.",
8,CPS 234-8,CPS 234,Interpretation,Interpretation,"In this Prudential Standard, unless the contrary intention appears, a reference to an Act, Regulation or Prudential Standard is a reference to the Act, Regulation or Prudential Standard as in force from time to time.",
9,CPS 234-9,CPS 234,Interpretation,Interpretation,"Where this Prudential Standard provides for APRA to exercise a power or discretion, the power or discretion is to be exercised in writing. ",
10,CPS 234-10,CPS 234,Interpretation,Interpretation,"For the purposes of this Prudential Standard: 'group' means a Level 2 group or a Level 3 group, as relevant; 'Head of a group' means a Level 2 Head or Level 3 Head, as relevant; 'Level 2 group' means the entities that comprise: (a) Level 2 as defined in APS 001; or (b) a Level 2 insurance group as defined in GPS 001; 'Level 2 Head' means: (a) where an ADI that is a member of a Level 2 group is not a subsidiary of an authorised banking NOHC or another ADI, that ADI; (b) where an ADI that is a member of a Level 2 group is a subsidiary of an authorised banking NOHC, that authorised banking NOHC; or (c) the parent entity of a Level 2 insurance group as defined in GPS 001.",
11,CPS 234-11,CPS 234,Adjustments and exclusions,Adjustments and exclusions,APRA may adjust or exclude a specific prudential requirement in this Prudential  Standard in relation to an APRA-regulated entity,
12,CPS 234-12,CPS 234,Definitions,Definitions,"The following definitions are used in this Prudential Standard:  (a) availability refers to accessibility and usability when required;  (b) confidentiality refers to access being restricted only to those authorised;  (c) criticality refers to the potential impact of a loss of availability;  (d) information asset means information and information technology,  including software, hardware and data (both soft and hard copy);  (e) information security means the preservation of an information asset's  confidentiality, integrity and availability;  (f) information security capability means the totality of resources, skills and  controls which provide the ability and capacity to maintain information  security;  (g) information security control means a prevention, detection or response  measure to reduce the likelihood or impact of an information security  incident;  (h) information security incident means an actual or potential compromise of  information security;  (i) information security policy framework means the totality of policies,  standards, guidelines and procedures pertaining to information security;  (j) information security threat (threat) is a circumstance or event that has the  potential to exploit an information security vulnerability;  (k) information security vulnerability (vulnerability) is a weakness in an  information asset or information security control that could be exploited to  compromise information security;  (l) integrity refers to completeness, accuracy and freedom from unauthorised  change or usage; and  (m) sensitivity means the potential impact of a loss of confidentiality or  integrity. ",
13,CPS 234-13,CPS 234,Roles and responsibilities,Roles and responsibilities,"13. The Board of an APRA-regulated entity (Board) is ultimately responsible for the information security of the entity. The Board must ensure that the entity maintains information security in a manner commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity.",
14,CPS 234-14,CPS 234,Roles and responsibilities,Roles and responsibilities,"14. An APRA-regulated entity must clearly define the information security-related roles and responsibilities of the Board, senior management, governing bodies and individuals with responsibility for decision-making, approval, oversight, operations and other information security functions.6",
15,CPS 234-15,CPS 234,Information security capability,Information security capability,"15. An APRA-regulated entity must maintain an information security capability commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity.",
16,CPS 234-16,CPS 234,Information security capability,Information security capability,"16. Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",
17,CPS 234-17,CPS 234,Information security capability,Information security capability,"17. An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",
18,CPS 234-18,CPS 234,Policy framework,Policy framework,18. An APRA-regulated entity must maintain an information security policy framework commensurate with its exposures to vulnerabilities and threats.,
19,CPS 234-19,CPS 234,Policy framework,Policy framework,19. An APRA-regulated entity's information security policy framework must provide direction on the responsibilities of all parties who have an obligation to maintain information security.,
20,CPS 234-20,CPS 234,Information asset identification and classification,Information asset identification and classification,"20. An APRA-regulated entity must classify its information assets, including those managed by related parties and third parties, by criticality and sensitivity. This classification must reflect the degree to which an information security incident affecting an information asset has the potential to affect, financially or non-financially, the entity or the interests of depositors, policyholders, beneficiaries or other customers.",
21,CPS 234-21,CPS 234,Implementation of controls,Implementation of controls,"21. An APRA-regulated entity must have information security controls to protect its information assets, including those managed by related parties and third parties, that are implemented in a timely manner and that are commensurate with:",
1:00 AM,CPS 234-1 a,CPS 234,Authority,Authority,This Prudential Standard is made under: (a) section 11AF of the Banking Act 1959 (Banking Act),
1 b,CPS 234-1 b,CPS 234,Authority,Authority,(b) section 32 of the Insurance Act 1973 (Insurance Act);,
1 c,CPS 234-1 c,CPS 234,Authority,Authority,(c) section 230A of the Life Insurance Act 1995 (Life Insurance Act);,
1 d,CPS 234-1 d,CPS 234,Authority,Authority,(d) section 92 of the Private Health Insurance (Prudential Supervision) Act 2015 (PHIPS Act); and,
1 e,CPS 234-1 e,CPS 234,Authority,Authority,(e) section 34C of the Superannuation Industry (Supervision) Act 1993 (SIS Act).,
2:00 AM,CPS 234-2 a,CPS 234,Application,Application,"This Prudential Standard applies to all 'APRA-regulated entities' defined as: (a) authorised deposit-taking institutions (ADIs), including foreign ADIs, and non-operating holding companies authorised under the Banking Act (authorised banking NOHCs);",
2 b,CPS 234-2 b,CPS 234,Application,Application,"(b) general insurers, including Category C insurers, non-operating holding companies authorised under the Insurance Act (authorised insurance NOHCs), and parent entities of Level 2 insurance groups;",
2 c,CPS 234-2 c,CPS 234,Application,Application,"(c) life companies, including friendly societies, eligible foreign life insurance companies (EFLICs) and non-operating holding companies registered under the Life Insurance Act (registered life NOHCs);",
2 d,CPS 234-2 d,CPS 234,Application,Application,(d) private health insurers registered under the PHIPS Act; and,
2 e,CPS 234-2 e,CPS 234,Application,Application,(e) RSE licensees under the SIS Act in respect of their business operations.,
21 a,CPS 234-21 a,CPS 234,Implementation of controls,Implementation of controls,(a) vulnerabilities and threats to the information assets;,
21 b,CPS 234-21 b,CPS 234,Implementation of controls,Implementation of controls,(b) the criticality and sensitivity of the information assets;,
21 c,CPS 234-21 c,CPS 234,Implementation of controls,Implementation of controls,(c) the stage at which the information assets are within their life-cycle; and,
21 d,CPS 234-21 d,CPS 234,Implementation of controls,Implementation of controls,(d) the potential consequences of an information security incident.,
22,CPS 234-22,CPS 234,Implementation of controls,Implementation of controls,"22. Where an APRA-regulated entity's information assets are managed by a related party or third party, the APRA-regulated entity must evaluate the design of that party's information security controls that protects the information assets of the APRA-regulated entity.",
23,CPS 234-23,CPS 234,Incident management,Incident management,23. An APRA-regulated entity must have robust mechanisms in place to detect and respond to information security incidents in a timely manner.,
24,CPS 234-24,CPS 234,Incident management,Incident management,24. An APRA-regulated entity must maintain plans to respond to information security incidents that the entity considers could plausibly occur (information security response plans).,
25,CPS 234-25,CPS 234,Incident management,Incident management,25. An APRA-regulated entity's information security response plans must include the mechanisms in place for:,
25 a,CPS 234-25 a,CPS 234,Incident management,Incident management,"(a) managing all relevant stages of an incident, from detection to post-incident review; and",
25 b,CPS 234-25 b,CPS 234,Incident management,Incident management,"(b) escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate.",
26,CPS 234-26,CPS 234,Incident management,Incident management,26. An APRA-regulated entity must annually review and test its information security response plans to ensure they remain effective and fit-for-purpose.,
27,CPS 234-27,CPS 234,Testing control effectiveness,Testing control effectiveness,27. An APRA-regulated entity must test the effectiveness of its information security controls through a systematic testing program. The nature and frequency of the systematic testing must be commensurate with:,
27 a,CPS 234-27 a,CPS 234,Testing control effectiveness,Testing control effectiveness,(a) the rate at which the vulnerabilities and threats change;,
27 b,CPS 234-27 b,CPS 234,Testing control effectiveness,Testing control effectiveness,(b) the criticality and sensitivity of the information asset;,
27 c ,CPS 234-27 c ,CPS 234,Testing control effectiveness,Testing control effectiveness,(c) the consequences of an information security incident;,
27 d,CPS 234-27 d,CPS 234,Testing control effectiveness,Testing control effectiveness,(d) the risks associated with exposure to environments where the APRA-regulated entity is unable to enforce its information security policies; and,
27 e,CPS 234-27 e,CPS 234,Testing control effectiveness,Testing control effectiveness,(e) the materiality and frequency of change to information assets.,
28,CPS 234-28,CPS 234,Testing control effectiveness,Testing control effectiveness,"28. Where an APRA-regulated entity's information assets are managed by a related party or a third party, and the APRA-regulated entity is reliant on that party's information security control testing, the APRA-regulated entity must assess whether the nature and frequency of testing of controls in respect of those information assets is commensurate with paragraphs 27(a) to 27(e) of this Prudential Standard.",
29,CPS 234-29,CPS 234,Testing control effectiveness,Testing control effectiveness,29. An APRA-regulated entity must escalate and report to the Board or senior management any testing results that identify information security control deficiencies that cannot be remediated in a timely manner.,
30,CPS 234-30,CPS 234,Testing control effectiveness,Testing control effectiveness,30. An APRA-regulated entity must ensure that testing is conducted by appropriately skilled and functionally independent specialists.,
31,CPS 234-31,CPS 234,Testing control effectiveness,Testing control effectiveness,31. An APRA-regulated entity must review the sufficiency of the testing program at least annually or when there is a material change to information assets or the business environment.,
32,CPS 234-32,CPS 234,Internal audit,Internal audit,"32. An APRA-regulated entity's internal audit activities must include a review of the design and operating effectiveness of information security controls, including those maintained by related parties and third parties (information security control assurance).",
33,CPS 234-33,CPS 234,Internal audit,Internal audit,33. An APRA-regulated entity must ensure that the information security control assurance is provided by personnel appropriately skilled in providing such assurance.,
34,CPS 234-34,CPS 234,Internal audit,Internal audit,34. An APRA-regulated entity's internal audit function must assess the information security control assurance provided by a related party or third party where:,
34 a,CPS 234-34 a,CPS 234,Internal audit,Internal audit,"(a) an information security incident affecting the information assets has the potential to materially affect, financially or non-financially, the entity or the interests of depositors, policyholders, beneficiaries or other customers; and",
34 b,CPS 234-34 b,CPS 234,Internal audit,Internal audit,(b) internal audit intends to rely on the information security control assurance provided by the related party or third party.,
35,CPS 234-35,CPS 234,APRA notification,APRA notification,"35. An APRA-regulated entity must notify APRA as soon as possible and, in any case, no later than 72 hours, after becoming aware of an information security incident that:",
35 a,CPS 234-35 a,CPS 234,APRA notification,APRA notification,"(a) materially affected, or had the potential to materially affect, financially or non-financially, the entity or the interests of depositors, policyholders, beneficiaries or other customers; or",
35 b,CPS 234-35 b,CPS 234,APRA notification,APRA notification,"(b) has been notified to other regulators, either in Australia or other jurisdictions.",
36,CPS 234-36,CPS 234,APRA notification,APRA notification,"36. An APRA-regulated entity must notify APRA as soon as possible and, in any case, no later than 10 business days, after it becomes aware of a material information security control weakness which the entity expects it will not be able to remediate in a timely manner.",
4:00 AM,CPS 234-4 a,CPS 234,Application,Application,"Where an APRA-regulated entity is the 'Head of a group', it must comply with a requirement of this Prudential Standard: (a) in its capacity as an APRA-regulated entity;",
4 b,CPS 234-4 b,CPS 234,Application,Application,"(b) by ensuring that the requirement is applied appropriately throughout the group, including in relation to entities that are not APRA-regulated; and",
4 c,CPS 234-4 c,CPS 234,Application,Application,"(c) on a group basis.  In applying the requirements of this Prudential Standard on a group basis,  references in paragraphs 13 to 36 to an 'APRA-regulated entity' are to be read as 'Head of a group' and references to 'entity' are to be read as 'group'.",
AIS-05-M1,CSA-AIS-05-M1,CSA,Automated Application Security Testing,,This metric measures the percentage of running production code that passed static application security testing.,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while enabling organizational speed of delivery goals. Automate when applicable and possible."
AIS-05-M2,CSA-AIS-05-M2,CSA,Automated Application Security Testing,,This metric measures the percentage of running production code that has been tested to show that it adheres to its desired behavior or specification.,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while enabling organizational speed of delivery goals. Automate when applicable and possible."
AIS-05-M3,CSA-AIS-05-M3,CSA,Automated Application Security Testing,,This metric measures the percentage of running production applications that have passed dynamic application security testing.,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while enabling organizational speed of delivery goals. Automate when applicable and possible."
AIS-06-M1,CSA-AIS-06-M1,CSA,Automated Secure Application Deployment,,This metric measures the percentage of running production code that can be directly traced back to automated security and quality tests that verify the compliance of each build.,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible."
AIS-07-M3,CSA-AIS-07-M3,CSA,Application Vulnerability Remediation,,This metric measures the coverage for application vulnerability remediation across the production code.,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible."
AIS-07-M6,CSA-AIS-07-M6,CSA,Application Vulnerability Remediation,,This metric measures the percentage of critical vulnerabilities that are not fixed or marked as accepted within the time specified by policy.,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible."
BCR-06-M1,CSA-BCR-06-M1,CSA,Business Continuity Exercises,,This metric reports the percentage of critical systems that passed BCR tests.,Exercise and test business continuity and operational resilience plans at least annually or upon significant changes.
BCR-08-M1,CSA-BCR-08-M1,CSA,Backup,,"This metric reports the percentage of critical data storages in cloud that have backup feature enabled. For example, if customer of CSP is using S3 buckets, these must have backup enabled as mentioned in https://docs.aws.amazon.com/aws-backup/latest/devguide/s3-backups.html. All cloud resources and services that have data storing capability must ensure that data is backed up in a secure storage with proper access control in place.","Periodically backup data stored in the cloud. Ensure the confidentiality, integrity and availability of the backup, and verify data restoration from backup for resiliency."
BCR-08-M2,CSA-BCR-08-M2,CSA,Backup,,"This metric reports the percentage of critical data storages in cloud that were successfully restored following a documented restoration process. By implementing this metric, SRE teams will have visibility of systems that have failed to restore and may analyze the reason why restoration is failed - if data is tampered, storage had unauthorized access, storage was not available due to CSP outage etc.","Periodically backup data stored in the cloud. Ensure the confidentiality, integrity and availability of the backup, and verify data restoration from backup for resiliency."
CCC-03-M1,CSA-CCC-03-M1,CSA,Change Management Technology,,Percentage of all assets that have change management technology integrated,"Manage the risks associated with applying changes to organization assets, including application, systems, infrastructure, configuration, etc., regardless of whether the assets are managed internally or externally (i.e., outsourced)."
CCC-07-M1,CSA-CCC-07-M1,CSA,Detection of Baseline Deviation,,This metric measures the percent of positive test results from all configuration tests performed.,Implement detection measures with proactive notification in case of changes deviating from the established baseline.
CEK-03-M2,CSA-CEK-03-M2,CSA,Data Encryption,,This metric measures if the cryptographic module continues to be up to approved standards.,"Provide cryptographic protection to data at-rest and in-transit, using cryptographic libraries certified to approved standards."
CEK-03-M3,CSA-CEK-03-M3,CSA,Data Encryption,,This metrics indicates which data sources communicate their internal traffic through encrypted methods,"Provide cryptographic protection to data at-rest and in-transit, using cryptographic libraries certified to approved standards."
CEK-04-M1,CSA-CEK-04-M1,CSA,Encryption Algorithm,,This metric measures the percentage of assets with cryptographic functions that meet an organization's defined cryptographic requirements.,"Use encryption algorithms that are appropriate for data protection, considering the classification of data, associated risks, and usability of the encryption technology."
DCS-06-M1,CSA-DCS-06-M1,CSA,Assets Cataloguing and Tracking,,This metric measures the ratio of managed assets (i.e. catalogued and tracked) to detected assets. The goal is to provide a signal if the asset cataloging and tracking system stops working.,Catalogue and track all relevant physical and logical assets located at all of the CSP's sites within a secured system.
DCS-06-M2,CSA-DCS-06-M2,CSA,Assets Cataloguing and Tracking,,This metric measures the ratio of owned assets in the inventory to the total assets in the inventory. The goal is to ensure that all assets in the inventory are owned.,Catalogue and track all relevant physical and logical assets located at all of the CSP's sites within a secured system.
DSP-04-M2,CSA-DSP-04-M2,CSA,Data Classification,,"This metric measures the ratio of data assets that have been classified according to data classification policies specific to each organization. An organization may have a predefined list of data types (e.g. health care record, payment card record, identification number, etc.) and / or data sensitivity levels (e.g. Confidential, Internal Use Only, Public).",Classify data according to its type and sensitivity level.
DSP-04-M3,CSA-DSP-04-M3,CSA,Data Classification,,"This metric measures the ratio of assets in the asset catalog that have been classified according to data classification policies specific to each organization. An organization may have a predefined list of data types (e.g. health care record, payment card record, identification number, etc.) and / or data sensitivity levels (e.g. Confidential, Internal Use Only, Public).",Classify data according to its type and sensitivity level.
DSP-05-M1,CSA-DSP-05-M1,CSA,Data Flow Documentation,,This metric measures the percentage of records from the data inventory required by control DSP-03 (CCMv4) that are included in data flow documentation. Cloud service providers and their stakeholders can use this metric to determine whether the volume of data covered by the data flow documentation is sufficient or needs to be updated to satisfy defined business requirements.,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and after any change."
DSP-05-M2,CSA-DSP-05-M2,CSA,Data Flow Documentation,,This metric measures the percentage of data streams from the data inventory required by control DSP-03 (CCMv4) that are included in the data flow documentation. Cloud service providers and their stakeholders can use a metric like this to determine whether the different uses of data covered by the data flow documentation is sufficient or needs to be updated to satisfy defined business requirements.,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and after any change."
GRC-04-M1,CSA-GRC-04-M1,CSA,Policy Exception Process,,This metric measures the effectiveness of the governance program's exception handling process.,Establish and follow an approved exception process as mandated by the governance program whenever a deviation from an established policy occurs.
IAM-07-M1,CSA-IAM-07-M1,CSA,User Access Changes and Revocation,,This metric measures the percentage of users leaving the organization that were de-provisioned from the identity management system in compliance with the identity and access management policies.,De-provision or respectively modify access of movers / leavers or system identity changes in a timely manner in order to effectively adopt and communicate identity and access management policies.
IAM-08-M2,CSA-IAM-08-M2,CSA,User Access Review,,"This metric measures the time elapsed since the last recertification for all types of privileges (including user roles, group memberships, read/write/execute permissions to files/databases/scripts/jobs, etc). The metric returns the longest time identified. For example, if the longest time elapsed for a recertification of a privilege is 95 days. The metric will return this number. The value returned should not be greater than the frequency of privilege recertification or review defined in the organization policies.",Review and revalidate user access for least privilege and separation of duties with a frequency that is commensurate with organizational risk tolerance.
IAM-09-M1,CSA-IAM-09-M1,CSA,Segregation of Privileged Access Roles,,This metric measures the segregation of duties of non-production staff having access to production roles and vice-versa.,"Define, implement and evaluate processes, procedures and technical measures for the segregation of privileged access roles such that administrative access to data, encryption and key management capabilities and logging capabilities are distinct and separated."
IPY-03-M2,CSA-IPY-03-M2,CSA,Secure Interoperability and Portability Management,,"This metric measures the percentage of data flows that use an approved, standardized cryptographic security function for interoperable transmissions of data.","Implement cryptographically secure and standardized network protocols for the management, import and export of data."
IVS-04-M1,CSA-IVS-04-M1,CSA,OS Hardening and Base Controls,,"This metric measures the percentage of assets in compliance with the provider configuration security policy and hardening baselines derived from accepted industry sources, e.g. NIST, Vendor Recommendations, Center for Internet Security Benchmarks, etc.","Harden host and guest OS, hypervisor or infrastructure control plane according to their respective best practices, and supported by technical controls, as part of a security baseline."
LOG-03-M1,CSA-LOG-03-M1,CSA,Security Monitoring and Alerting,,"This metric measures the percentage of logs configured to generate security alerts for anomalous activity across control domains such as Application & Interface Security, Business Continuity Management, Change Control & Configuration Management, Identity & Access Management, Infrastructure & Virtualization Security, Threat & Vulnerability Management, and Endpoint Management.",Identify and monitor security-related events within applications and the underlying infrastructure. Define and implement a system to generate alerts to responsible stakeholders based on such events and corresponding metrics.
LOG-05-M1,CSA-LOG-05-M1,CSA,Audit Logs Monitoring and Response,,This metric reports the effectiveness of the log monitoring and response process by measuring the percentage of discovered anomalies resolved within required timelines.,Monitor security audit logs to detect activity outside of typical or expected patterns. Establish and follow a defined process to review and take appropriate and timely actions on detected anomalies.
LOG-10-M1,CSA-LOG-10-M1,CSA,Encryption Monitoring and Reporting,,"This metric measures the percentage of cryptography, encryption and key management controls with defined metrics.","Establish and maintain a monitoring and internal reporting capability over the operations of cryptographic, encryption and key management policies, processes, procedures, and controls."
LOG-13-M2,CSA-LOG-13-M2,CSA,Failures and Anomalies Reporting,,This metric measures *failures [e.g. uptime] of the monitoring system*. The other aspects of this control such as *reporting of anomalies* and *immediate notification to the accountable party* are to be measured using other metrics.,"Define, implement and evaluate processes, procedures and technical measures for the reporting of anomalies and failures of the monitoring system and provide immediate notification to the accountable party."
SEF-05-M1,CSA-SEF-05-M1,CSA,Incident Response Metrics,,This metric measures the percentage of security events sourced from automated systems.,Establish and monitor information security incident metrics.
SEF-06-M1,CSA-SEF-06-M1,CSA,Event Triage Processes,,This metric measures the percentage of security events triaged within policy timeframe targets.,"Define, implement and evaluate processes, procedures and technical measures supporting business processes to triage security-related events."
SEF-06-M2,CSA-SEF-06-M2,CSA,Event Triage Processes,,"This metric indicates if security event triage process times are stable, improving, or worsening.","Define, implement and evaluate processes, procedures and technical measures supporting business processes to triage security-related events."
STA-07-M3,CSA-STA-07-M3,CSA,Supply Chain Inventory,,The percent of third-party software components seen in production assets that are sourced from an approved supplier in the software inventory.,Develop and maintain an inventory of all supply chain relationships.
STA-07-M5,CSA-STA-07-M5,CSA,Supply Chain Inventory,,"The percent of approved supply chain, Upstream Cloud Services relationships that are not recorded in logged data connections.",Develop and maintain an inventory of all supply chain relationships.
TVM-03-M1,CSA-TVM-03-M1,CSA,Vulnerability Remediation Schedule,,This metric measures the percentage of high and critical vulnerabilities that are remediated within the policy timeframes. This reflects the time between when a vulnerability is identified and when remediation is complete.,"Define, implement and evaluate processes, procedures and technical measures to enable both scheduled and emergency responses to vulnerability identifications, based on the identified risk."
TVM-07-M1,CSA-TVM-07-M1,CSA,Vulnerability Identification,,This metric measures the percentage of managed assets scanned monthly.,"Define, implement and evaluate processes, procedures and technical measures for the detection of vulnerabilities on organizationally managed assets at least monthly."
TVM-10-M1,CSA-TVM-10-M1,CSA,Vulnerability Management Metrics,,This metric measures the percentage of publicly known vulnerabilities that are identified for organizational assets within the required organizational timeframes. The purpose of this metric is to determine how long it takes an organization to start tracking vulnerabilities for triage. This measure is important because Palo Alto Networks reported that Internet assets are scanned once every 15 minutes or less after CVEs are published. This metric does not include the time to remediation (which is measured by TVM-03-M1).,"Establish, monitor and report metrics for vulnerability identification and remediation at defined intervals."
UEM-04-M1,CSA-UEM-04-M1,CSA,Endpoint Inventory,,This metric provides an indication of endpoints that are actively maintained in the Asset Inventory.,Maintain an inventory of all endpoints used to store and access company data.
UEM-05-M1,CSA-UEM-05-M1,CSA,Endpoint Management,,"This metric describes the ability of an organization to control the configuration and behaviour of assets which directly create, read, write, or delete organizational data.","Define, implement and evaluate processes, procedures and technical measures to enforce policies and controls for all endpoints permitted to access systems and/or store, transmit, or process organizational data."
UEM-09-M1,CSA-UEM-09-M1,CSA,Anti-Malware Detection and Prevention,,This metric measures the percentage of instances which are an running anti-malware/virus service. This focuses on the effetiveness of the organisation's anti-malware policy with respect to ensuring anti-malware tools are deployed.,Configure managed endpoints with anti-malware detection and prevention technology and services.
UEM-09-M2,CSA-UEM-09-M2,CSA,Anti-Malware Detection and Prevention,,This metric reports the number of security incidents involving active malware on hosts protected by the chosen anti-malware/virus services. This focuses on the effetiveness of the organisation's anti-malware tools with respect to detecting and blocking malware.,Configure managed endpoints with anti-malware detection and prevention technology and services.
ISM-0445,ISM-0445,Essential8-ML1,Restrict administrative privileges,Privileged users are assigned a dedicated privileged account to be used solely for duties requiring privileged access.,Privileged users are assigned a dedicated privileged account to be used solely for duties requiring privileged access.,
ISM-0843,ISM-0843,Essential8-ML1,Application control,Application control is implemented on workstations.,Application control is implemented on workstations.,
ISM-1175,ISM-1175,Essential8-ML1,Restrict administrative privileges,"Privileged accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.","Privileged accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.",
ISM-1380,ISM-1380,Essential8-ML1,Restrict administrative privileges,Privileged users use separate privileged and unprivileged operating environments.,Privileged users use separate privileged and unprivileged operating environments.,
ISM-1401,ISM-1401,Essential8-ML1,Multi-factor authentication,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.","Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.",
ISM-1485,ISM-1485,Essential8-ML1,User application hardening,Web browsers do not process web advertisements from the internet.,Web browsers do not process web advertisements from the internet.,
ISM-1486,ISM-1486,Essential8-ML1,User application hardening,Web browsers do not process Java from the internet.,Web browsers do not process Java from the internet.,
ISM-1488,ISM-1488,Essential8-ML1,Restrict Microsoft Office macros,Microsoft Office macros in files originating from the internet are blocked.,Microsoft Office macros in files originating from the internet are blocked.,
ISM-1489,ISM-1489,Essential8-ML1,Restrict Microsoft Office macros,Microsoft Office macro security settings cannot be changed by users.,Microsoft Office macro security settings cannot be changed by users.,
ISM-1501,ISM-1501,Essential8-ML1,Patch operating systems,Operating systems that are no longer supported by vendors are replaced.,Operating systems that are no longer supported by vendors are replaced.,
